filename,waveform,voltage[V],frequency[mHz]
TEK1_000_ALL.csv,triangular,0.1,300
TEK1_001_ALL.csv,triangular,0.2,300
TEK1_002_ALL.csv,triangular,0.3,300
TEK1_003_ALL.csv,triangular,0.3,300
TEK1_004_ALL.csv,triangular,0.4,300
TEK1_005_ALL.csv,triangular,0.5,300
TEK1_006_ALL.csv,sinusoidal,0.1,300
TEK1_007_ALL.csv,sinusoidal,0.2,300
TEK1_008_ALL.csv,sinusoidal,0.3,300
TEK1_009_ALL.csv,sinusoidal,0.4,300
TEK1_010_ALL.csv,sinusoidal,0.5,300
TEK1_011_ALL.csv,triangular,0.1,100
TEK1_012_ALL.csv,triangular,0.1,200
TEK1_013_ALL.csv,triangular,0.1,300
TEK1_014_ALL.csv,triangular,0.1,400
TEK1_015_ALL.csv,triangular,0.1,500
TEK1_016_ALL.csv,sinusoidal,0.1,100
TEK1_017_ALL.csv,sinusoidal,0.1,200
TEK1_018_ALL.csv,sinusoidal,0.1,300
TEK1_019_ALL.csv,sinusoidal,0.1,400
TEK1_020_ALL.csv,sinusoidal,0.1,500
